2
25 10
988 -2263 -900 -3207 -496 0 -1455 2810 -3255 -1511
-1397 1520 -1175 -1948 -805 447 -690 -3368 -892 -1779
935 1702 2463 3573 -1945 0 -3749 0 0 -1325
-1024 0 -1717 852 -2234 1033 2183 712 2211 -2194
0 2334 3503 698 -1779 0 -2613 -1024 -1216 -1019
-1036 -1935 0 2658 1012 -1742 782 2368 -1863 -2977
-2076 -3631 -1267 0 1993 3412 -942 1825 -3467 -2160
3738 -1478 -2260 2825 1887 2662 1880 718 -1444 -2111
1796 -1883 0 1149 3084 1088 -1056 0 548 0
1556 -641 1835 0 1443 -1054 1593 2376 -758 2268
3847 1274 -2859 2384 -1500 1556 -2385 -787 2667 2489
-1084 1570 -2415 1365 -2892 -1272 -1554 2147 498 -2200
-3116 0 0 0 -4260 -1263 -2005 -786 -1265 -1893
-1278 -2589 -1102 -2901 -2541 -835 1749 1523 -723 0
1745 2334 1857 2722 3536 -2061 0 832 -2127 -880
0 6326 850 887 -2292 -1795 -676 0 -1306 0
-1405 -1448 4661 1027 -1473 2231 -2418 -3125 -1451 1798
-2078 -635 -1739 -499 0 -1098 -2086 -1245 2631 -937
-733 1295 -2621 4322 2078 3537 -778 -1343 723 -3033
-2882 -1713 1798 2310 3323 -1546 1592 1102 -2116 1021
1296 -1239 2340 1628 789 656 -2994 1352 0 4183
-2378 1783 -303 0 -1768 3699 -3710 -4962 672 -2368
-2209 -1025 1090 1109 -1816 -1249 -2809 -851 0 3214
904 -720 902 -1682 690 706 2001 2407 1652 804
3339 -2202 -2819 2855 1904 1775 -1046 1363 -1415 2319
3230 2280 558 -1817 -971 -525 -61 282 31 2772
3
10 27
-1547 3430 -3212 -2355 -1431 -4806 -1710 5192 -2522 2141 2070 2537 -5390 0 1174 1084 4410 0 0 3858 2681 -4976 -4834 3744 2885 3208 -2157
0 2707 0 2177 1529 -6003 -4054 1098 -5812 -3484 1494 0 5194 -1881 -3628 6137 3223 2972 -5483 -2039 1040 -4583 0 2518 -3873 -4608 2002
-1655 3237 -4007 3074 0 -2183 2989 6284 4160 -1643 0 3873 4437 4443 1612 -6466 -3326 3057 -5160 -4244 3224 -2207 0 -5201 -2191 -1401 0
0 -7770 0 0 3197 -2972 -3117 -1091 1171 -2373 1855 5148 -3833 -2848 -2264 -3800 5385 5793 -2263 0 0 -4387 3158 0 0 -2617 -1536
0 0 -2197 -3543 -2743 5917 -4584 3897 2659 -4102 3114 -1510 -2117 0 2691 1021 6280 0 0 0 3693 5462 -6762 -3692 4272 0 -5193
0 -3933 0 0 1764 2353 1139 2494 -2405 0 3889 -3012 -3186 0 -2368 -5729 0 -2070 4867 -2945 0 3204 -1374 3485 3850 5261 2793
0 2564 -1850 0 1195 1321 -4424 0 2703 -1534 0 0 0 0 -1581 3286 3157 -1564 -1454 3514 1797 0 2467 -1985 -5206 4901 0
2370 0 0 -1334 -2424 0 3682 -2077 5691 3807 -5418 5104 1561 0 3368 -3050 0 -3486 5718 0 -2259 0 3070 0 1803 0 -1413
-1592 0 0 2672 1279 2085 -1516 1512 2093 1976 0 1687 -3040 -3104 -4163 -6069 2542 -5577 -1423 0 0 -5580 2216 0 0 -2154 1662
-1942 2281 2647 -6143 3113 4986 -1171 2472 1972 5230 3837 1182 0 3182 5292 -5869 5626 -3065 -3647 -1741 3416 -5205 0 -7398 -1580 -4566 -6282
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0
